Date 	Plot	Replicate	Treatment	SoilMoisture
1/29/2004	2	1	1	29.45
1/29/2004	3	1	1	30.5
1/29/2004	4	1	1	28.7
1/29/2004	1	1	1	34.8
1/29/2004	5	1	1	30.55
1/29/2004	6	1	1	29.67
1/29/2004	2	2	1	28.2
1/29/2004	3	2	1	30.6
1/29/2004	4	2	1	28.05
1/29/2004	1	2	1	31.9
1/29/2004	5	2	1	31.3
1/29/2004	6	2	1	30.6
2/10/2004	2	1	1	30
2/10/2004	3	1	1	32
2/10/2004	4	1	1	27.65
2/10/2004	1	1	1	35.97
2/10/2004	5	1	1	30.85
2/10/2004	6	1	1	30.85
2/10/2004	2	2	1	31.23
2/10/2004	3	2	1	32.55
2/10/2004	4	2	1	30.6
2/10/2004	1	2	1	35.3
2/10/2004	5	2	1	33.6
2/10/2004	6	2	1	29.85
3/12/2004	2	1	1	28.8
3/12/2004	3	1	1	31.15
3/12/2004	4	1	1	29.2
3/12/2004	1	1	1	36.35
3/12/2004	5	1	1	32.65
3/12/2004	6	1	1	35.8
3/12/2004	2	2	1	32.2
3/12/2004	3	2	1	30.65
3/12/2004	4	2	1	32
3/12/2004	1	2	1	34.9
3/12/2004	5	2	1	31.5
3/12/2004	6	2	1	30.25
4/2/2004	2	1	1	27.05
4/2/2004	3	1	1	26.9
4/2/2004	4	1	1	25.65
4/2/2004	1	1	1	31
4/2/2004	5	1	1	28.15
4/2/2004	6	1	1	31.1
4/2/2004	2	2	1	27.05
4/2/2004	3	2	1	27.55
4/2/2004	4	2	1	24.85
4/2/2004	1	2	1	33
4/2/2004	5	2	1	28.05
4/2/2004	6	2	1	28.8
5/9/2004	2	1	1	25.6
5/9/2004	3	1	1	25.4
5/9/2004	4	1	1	17.7
5/9/2004	1	1	1	26.6
5/9/2004	5	1	1	28.7
5/9/2004	6	1	1	26.9
5/9/2004	2	2	1	24.7
5/9/2004	3	2	1	24.4
5/9/2004	4	2	1	17
5/9/2004	1	2	1	27.1
5/9/2004	5	2	1	25.4
5/9/2004	6	2	1	26.7
6/15/2009	2	1	1	21.1
6/15/2009	3	1	1	28.3
6/15/2009	4	1	1	21.9
6/15/2009	1	1	1	28.2
6/15/2009	5	1	1	24.2
6/15/2009	6	1	1	26
6/15/2009	2	2	1	27.7
6/15/2009	3	2	1	27.9
6/15/2009	4	2	1	20.9
6/15/2009	1	2	1	26.6
6/15/2009	5	2	1	27.6
6/15/2009	6	2	1	26.1
7/16/2004	2	1	1	9.3
7/16/2004	3	1	1	21.1
7/16/2004	4	1	1	11.8
7/16/2004	1	1	1	16.9
7/16/2004	5	1	1	22.3
7/16/2004	6	1	1	24.6
7/16/2004	2	2	1	18.75
7/16/2004	3	2	1	19.3
7/16/2004	4	2	1	10.3
7/16/2004	1	2	1	10.4
7/16/2004	5	2	1	18.2
7/16/2004	6	2	1	21.5
8/25/2004	2	1	1	26.7
8/25/2004	3	1	1	26.1
8/25/2004	4	1	1	22.5
8/25/2004	1	1	1	28.6
8/25/2004	5	1	1	30
8/25/2004	6	1	1	26.7
8/25/2004	2	2	1	27.5
8/25/2004	3	2	1	28.8
8/25/2004	4	2	1	22.3
8/25/2004	1	2	1	25.4
8/25/2004	5	2	1	30.1
8/25/2004	6	2	1	25.9
9/17/2004	2	1	1	13.4
9/17/2004	3	1	1	18.7
9/17/2004	4	1	1	9.5
9/17/2004	1	1	1	12.1
9/17/2004	5	1	1	18.5
9/17/2004	6	1	1	15.8
9/17/2004	2	2	1	14
9/17/2004	3	2	1	17.6
9/17/2004	4	2	1	13.4
9/17/2004	1	2	1	17.3
9/17/2004	5	2	1	15.3
9/17/2004	6	2	1	17.1
10/20/2004	2	1	1	28.4
10/20/2004	3	1	1	25.7
10/20/2004	4	1	1	30.4
10/20/2004	1	1	1	33
10/20/2004	5	1	1	30
10/20/2004	6	1	1	30.8
10/20/2004	2	2	1	30.8
10/20/2004	3	2	1	27.7
10/20/2004	4	2	1	28.2
10/20/2004	1	2	1	29.3
10/20/2004	5	2	1	30
10/20/2004	6	2	1	27.3
12/3/2004	2	1	1	32.7
12/3/2004	3	1	1	36.6
12/3/2004	4	1	1	37
12/3/2004	1	1	1	39.7
12/3/2004	5	1	1	36.1
12/3/2004	6	1	1	38.8
12/3/2004	2	2	1	32.6
12/3/2004	3	2	1	35.2
12/3/2004	4	2	1	37.6
12/3/2004	1	2	1	40.5
12/3/2004	5	2	1	35.2
12/3/2004	6	2	1	37.8
12/29/2004	2	1	1	30.6
12/29/2004	3	1	1	33.7
12/29/2004	4	1	1	31.8
12/29/2004	1	1	1	34.8
12/29/2004	5	1	1	31.8
12/29/2004	6	1	1	32.9
12/29/2004	2	2	1	33.8
12/29/2004	3	2	1	31.2
12/29/2004	4	2	1	29
12/29/2004	1	2	1	37.6
12/29/2004	5	2	1	31.8
12/29/2004	6	2	1	34
1/26/2005	2	1	1	29.85
1/26/2005	3	1	1	31.9
1/26/2005	4	1	1	30.2
1/26/2005	1	1	1	37.15
1/26/2005	5	1	1	34.1
1/26/2005	6	1	1	34.1
1/26/2005	2	2	1	31.6
1/26/2005	3	2	1	33.1
1/26/2005	4	2	1	30.9
1/26/2005	1	2	1	39.1
1/26/2005	5	2	1	31.7
1/26/2005	6	2	1	35.3
2/21/2005	2	1	1	29.4
2/21/2005	3	1	1	31.9
2/21/2005	4	1	1	30
2/21/2005	1	1	1	38.4
2/21/2005	5	1	1	34.6
2/21/2005	6	1	1	33.8
2/21/2005	2	2	1	32
2/21/2005	3	2	1	31.9
2/21/2005	4	2	1	30.3
2/21/2005	1	2	1	39.3
2/21/2005	5	2	1	33.2
2/21/2005	6	2	1	36.8
4/15/2005	2	1	1	23.7
4/15/2005	3	1	1	26.1
4/15/2005	4	1	1	17.1
4/15/2005	1	1	1	31.1
4/15/2005	5	1	1	26
4/15/2005	6	1	1	26.6
4/15/2005	2	2	1	29.5
4/15/2005	3	2	1	26.9
4/15/2005	4	2	1	20
4/15/2005	1	2	1	30.3
4/15/2005	5	2	1	24.2
4/15/2005	6	2	1	26.9
4/28/2005	2	1	1	19.5
4/28/2005	3	1	1	17.5
4/28/2005	4	1	1	13.6
4/28/2005	1	1	1	25.4
4/28/2005	5	1	1	22
4/28/2005	6	1	1	19.5
4/28/2005	2	2	1	20.9
4/28/2005	3	2	1	20.9
4/28/2005	4	2	1	14.3
4/28/2005	1	2	1	24.3
4/28/2005	5	2	1	20.9
4/28/2005	6	2	1	19.4
5/28/2005	2	1	1	20.6
5/28/2005	3	1	1	22.4
5/28/2005	4	1	1	17.3
5/28/2005	1	1	1	22.4
5/28/2005	5	1	1	26.3
5/28/2005	6	1	1	25.1
5/28/2005	2	2	1	21.15
5/28/2005	3	2	1	20.5
5/28/2005	4	2	1	16.9
5/28/2005	1	2	1	25.1
5/28/2005	5	2	1	22.8
5/28/2005	6	2	1	21.1
6/21/2005	2	1	1	25.5
6/21/2005	3	1	1	24.2
6/21/2005	4	1	1	17
6/21/2005	1	1	1	28.4
6/21/2005	5	1	1	26.5
6/21/2005	6	1	1	25.2
6/21/2005	2	2	1	26.75
6/21/2005	3	2	1	18.4
6/21/2005	4	2	1	17.4
6/21/2005	1	2	1	26.1
6/21/2005	5	2	1	26.9
6/21/2005	6	2	1	25.6
7/8/2005	2	1	1	24.85
7/8/2005	3	1	1	27.7
7/8/2005	4	1	1	21
7/8/2005	1	1	1	27.2
7/8/2005	5	1	1	25.3
7/8/2005	6	1	1	27.2
7/8/2005	2	2	1	28.8
7/8/2005	3	2	1	27.5
7/8/2005	4	2	1	20.2
7/8/2005	1	2	1	27.8
7/8/2005	5	2	1	25
7/8/2005	6	2	1	24.55
8/2/2005	2	1	1	22
8/2/2005	3	1	1	26.8
8/2/2005	4	1	1	18.1
8/2/2005	1	1	1	24.7
8/2/2005	5	1	1	21.9
8/2/2005	6	1	1	23.5
8/2/2005	2	2	1	27.3
8/2/2005	3	2	1	25.1
8/2/2005	4	2	1	17.6
8/2/2005	1	2	1	23.4
8/2/2005	5	2	1	22.2
8/2/2005	6	2	1	24.1
8/25/2005	2	1	1	24.8
8/25/2005	3	1	1	25.7
8/25/2005	4	1	1	22.6
8/25/2005	1	1	1	27.3
8/25/2005	5	1	1	27.9
8/25/2005	6	1	1	29.5
8/25/2005	2	2	1	26.2
8/25/2005	3	2	1	27.7
8/25/2005	4	2	1	22.9
8/25/2005	1	2	1	28.4
8/25/2005	5	2	1	27.6
8/25/2005	6	2	1	26.1
9/24/2005	2	1	1	21.7
9/24/2005	3	1	1	26.4
9/24/2005	4	1	1	19.7
9/24/2005	1	1	1	26.6
9/24/2005	5	1	1	23.7
9/24/2005	6	1	1	24.9
9/24/2005	2	2	1	24.6
9/24/2005	3	2	1	27.5
9/24/2005	4	2	1	18.2
9/24/2005	1	2	1	25.7
9/24/2005	5	2	1	26.7
9/24/2005	6	2	1	22.8
10//26/05	2	1	1	22.2
10//26/05	3	1	1	27.2
10//26/05	4	1	1	19.4
10//26/05	1	1	1	28
10//26/05	5	1	1	24.9
10//26/05	6	1	1	23.4
10//26/05	2	2	1	23.9
10//26/05	3	2	1	27
10//26/05	4	2	1	17.1
10//26/05	1	2	1	27.5
10//26/05	5	2	1	26.4
10//26/05	6	2	1	21.8
11/21/2005	2	1	1	20.7
11/21/2005	3	1	1	25.4
11/21/2005	4	1	1	13.6
11/21/2005	1	1	1	23.3
11/21/2005	5	1	1	17.2
11/21/2005	6	1	1	20.7
11/21/2005	2	2	1	22.3
11/21/2005	3	2	1	24.1
11/21/2005	4	2	1	14.1
11/21/2005	1	2	1	20.6
11/21/2005	5	2	1	22.3
11/21/2005	6	2	1	16.4
12/30/2005	2	1	1	20.9
12/30/2005	3	1	1	25.3
12/30/2005	4	1	1	18.3
12/30/2005	1	1	1	22.6
12/30/2005	5	1	1	15.9
12/30/2005	6	1	1	20.1
12/30/2005	2	2	1	23
12/30/2005	3	2	1	25.5
12/30/2005	4	2	1	14.4
12/30/2005	1	2	1	23.6
12/30/2005	5	2	1	20.8
12/30/2005	6	2	1	18
1/30/2006	2	1	1	24
1/30/2006	3	1	1	24.2
1/30/2006	4	1	1	20.2
1/30/2006	1	1	1	27.2
1/30/2006	5	1	1	19.6
1/30/2006	6	1	1	25.1
1/30/2006	2	2	1	24.65
1/30/2006	3	2	1	24.3
1/30/2006	4	2	1	17
1/30/2006	1	2	1	28.4
1/30/2006	5	2	1	24.1
1/30/2006	6	2	1	21
2/24/2006	2	1	1	23.2
2/24/2006	3	1	1	25.6
2/24/2006	4	1	1	19.5
2/24/2006	1	1	1	NA
2/24/2006	5	1	1	23.5
2/24/2006	6	1	1	23.3
2/24/2006	2	2	1	26.2
2/24/2006	3	2	1	22
2/24/2006	4	2	1	18.8
2/24/2006	1	2	1	26.1
2/24/2006	5	2	1	24
2/24/2006	6	2	1	21
3/28/2006	2	1	1	27.4
3/28/2006	3	1	1	28.5
3/28/2006	4	1	1	26.9
3/28/2006	1	1	1	31.8
3/28/2006	5	1	1	30.2
3/28/2006	6	1	1	27.9
3/28/2006	2	2	1	29.1
3/28/2006	3	2	1	27.9
3/28/2006	4	2	1	26.1
3/28/2006	1	2	1	30.7
3/28/2006	5	2	1	29.8
3/28/2006	6	2	1	28.4
4/27/2006	2	1	1	20.7
4/27/2006	3	1	1	19.2
4/27/2006	4	1	1	9.5
4/27/2006	1	1	1	NA
4/27/2006	5	1	1	NA
4/27/2006	6	1	1	NA
4/27/2006	2	2	1	20.5
4/27/2006	3	2	1	20.6
4/27/2006	4	2	1	15.9
4/27/2006	1	2	1	NA
4/27/2006	5	2	1	NA
4/27/2006	6	2	1	NA
5/16/2006	2	1	1	25.9
5/16/2006	3	1	1	27.9
5/16/2006	4	1	1	25.6
5/16/2006	1	1	1	32.2
5/16/2006	5	1	1	23.6
5/16/2006	6	1	1	22.2
5/16/2006	2	2	1	28.1
5/16/2006	3	2	1	27
5/16/2006	4	2	1	26.3
5/16/2006	1	2	1	32.7
5/16/2006	5	2	1	27.9
5/16/2006	6	2	1	22.6
5/30/2006	2	1	1	11.4
5/30/2006	3	1	1	NA
5/30/2006	4	1	1	NA
5/30/2006	1	1	1	NA
5/30/2006	5	1	1	NA
5/30/2006	6	1	1	NA
5/30/2006	2	2	1	16.5
5/30/2006	3	2	1	NA
5/30/2006	4	2	1	NA
5/30/2006	1	2	1	19.7
5/30/2006	5	2	1	NA
5/30/2006	6	2	1	NA
6/26/2006	2	1	1	22.8
6/26/2006	3	1	1	23.6
6/26/2006	4	1	1	13.3
6/26/2006	1	1	1	26.8
6/26/2006	5	1	1	19.8
6/26/2006	6	1	1	27.2
6/26/2006	2	2	1	25.8
6/26/2006	3	2	1	26.5
6/26/2006	4	2	1	15.3
6/26/2006	1	2	1	27.2
6/26/2006	5	2	1	24.6
6/26/2006	6	2	1	23
7/17/2006	2	1	1	13.7
7/17/2006	3	1	1	15.9
7/17/2006	4	1	1	7.2
7/17/2006	1	1	1	11.4
7/17/2006	5	1	1	8
7/17/2006	6	1	1	16.8
7/17/2006	2	2	1	18.6
7/17/2006	3	2	1	14.7
7/17/2006	4	2	1	8.9
7/17/2006	1	2	1	13.3
7/17/2006	5	2	1	7.3
7/17/2006	6	2	1	9.6
8/1/2006	2	1	1	21.6
8/1/2006	3	1	1	22.6
8/1/2006	4	1	1	17.8
8/1/2006	1	1	1	27.2
8/1/2006	5	1	1	18.7
8/1/2006	6	1	1	23.6
8/1/2006	2	2	1	23.4
8/1/2006	3	2	1	24.1
8/1/2006	4	2	1	18.9
8/1/2006	1	2	1	25.1
8/1/2006	5	2	1	21.6
8/1/2006	6	2	1	23
9/8/2006	2	1	1	27.9
9/8/2006	3	1	1	30.6
9/8/2006	4	1	1	24.3
9/8/2006	1	1	1	28.2
9/8/2006	5	1	1	29.2
9/8/2006	6	1	1	26.8
9/8/2006	2	2	1	28
9/8/2006	3	2	1	29.7
9/8/2006	4	2	1	25.5
9/8/2006	1	2	1	30.7
9/8/2006	5	2	1	30.3
9/8/2006	6	2	1	29.1
10/8/2006	2	1	1	20.3
10/8/2006	3	1	1	22.3
10/8/2006	4	1	1	13.4
10/8/2006	1	1	1	24.8
10/8/2006	5	1	1	18.2
10/8/2006	6	1	1	18
10/8/2006	2	2	1	21.8
10/8/2006	3	2	1	25.2
10/8/2006	4	2	1	12.1
10/8/2006	1	2	1	20.9
10/8/2006	5	2	1	25.7
10/8/2006	6	2	1	19.3
11/11/2006	2	1	1	28.2
11/11/2006	3	1	1	29.3
11/11/2006	4	1	1	28.8
11/11/2006	1	1	1	34.3
11/11/2006	5	1	1	31.9
11/11/2006	6	1	1	30.7
11/11/2006	2	2	1	30.1
11/11/2006	3	2	1	27.5
11/11/2006	4	2	1	27.7
11/11/2006	1	2	1	30.2
11/11/2006	5	2	1	32.9
11/11/2006	6	2	1	31.1
12/23/2006	2	1	1	34
12/23/2006	3	1	1	35
12/23/2006	4	1	1	37.2
12/23/2006	1	1	1	35.9
12/23/2006	5	1	1	30.2
12/23/2006	6	1	1	31.4
12/23/2006	2	2	1	35.7
12/23/2006	3	2	1	35.2
12/23/2006	4	2	1	31.7
12/23/2006	1	2	1	36.4
