Date 	Plot	Replicate	Treatment	SoilMoisture
12/23/2006	5	2	1	31.6
12/23/2006	6	2	1	32.1
1/29/2004	2	1	2	27.9
1/29/2004	3	1	2	25.55
1/29/2004	4	1	2	29.45
1/29/2004	1	1	2	31.6
1/29/2004	5	1	2	30.25
1/29/2004	6	1	2	29.55
1/29/2004	2	2	2	28.15
1/29/2004	3	2	2	29.75
1/29/2004	4	2	2	24.95
1/29/2004	1	2	2	29.6
1/29/2004	5	2	2	30.05
1/29/2004	6	2	2	28.35
2/10/2004	2	1	2	30.8
2/10/2004	3	1	2	32.6
2/10/2004	4	1	2	29.6
2/10/2004	1	1	2	34.35
2/10/2004	5	1	2	30.3
2/10/2004	6	1	2	30.2
2/10/2004	2	2	2	31.5
2/10/2004	3	2	2	30.9
2/10/2004	4	2	2	28
2/10/2004	1	2	2	32.7
2/10/2004	5	2	2	29.85
2/10/2004	6	2	2	29.7
3/12/2004	2	1	2	31.2
3/12/2004	3	1	2	30.35
3/12/2004	4	1	2	29.7
3/12/2004	1	1	2	34.15
3/12/2004	5	1	2	31.7
3/12/2004	6	1	2	32.2
3/12/2004	2	2	2	31
3/12/2004	3	2	2	31.9
3/12/2004	4	2	2	30
3/12/2004	1	2	2	31.65
3/12/2004	5	2	2	28.4
3/12/2004	6	2	2	30.4
4/2/2004	2	1	2	25.45
4/2/2004	3	1	2	24.65
4/2/2004	4	1	2	27.5
4/2/2004	1	1	2	27.05
4/2/2004	5	1	2	29.05
4/2/2004	6	1	2	28.05
4/2/2004	2	2	2	27.45
4/2/2004	3	2	2	24.25
4/2/2004	4	2	2	25.9
4/2/2004	1	2	2	26.2
4/2/2004	5	2	2	25.2
4/2/2004	6	2	2	26.35
5/9/2004	2	1	2	23.15
5/9/2004	3	1	2	23.4
5/9/2004	4	1	2	27.1
5/9/2004	1	1	2	20.5
5/9/2004	5	1	2	27.2
5/9/2004	6	1	2	26.3
5/9/2004	2	2	2	22.8
5/9/2004	3	2	2	20
5/9/2004	4	2	2	23.1
5/9/2004	1	2	2	21.9
5/9/2004	5	2	2	22.4
5/9/2004	6	2	2	22.4
6/15/2009	2	1	2	28.2
6/15/2009	3	1	2	26.6
6/15/2009	4	1	2	27.8
6/15/2009	1	1	2	25.5
6/15/2009	5	1	2	25
6/15/2009	6	1	2	26.7
6/15/2009	2	2	2	21.2
6/15/2009	3	2	2	26.7
6/15/2009	4	2	2	25.4
6/15/2009	1	2	2	26.9
6/15/2009	5	2	2	27.3
6/15/2009	6	2	2	25.5
7/16/2004	2	1	2	23.9
7/16/2004	3	1	2	16.4
7/16/2004	4	1	2	17.9
7/16/2004	1	1	2	17
7/16/2004	5	1	2	21.3
7/16/2004	6	1	2	16.7
7/16/2004	2	2	2	20.4
7/16/2004	3	2	2	20.2
7/16/2004	4	2	2	14.2
7/16/2004	1	2	2	15.4
7/16/2004	5	2	2	15.1
7/16/2004	6	2	2	20.2
8/25/2004	2	1	2	25.1
8/25/2004	3	1	2	24.7
8/25/2004	4	1	2	25.8
8/25/2004	1	1	2	30.1
8/25/2004	5	1	2	30.3
8/25/2004	6	1	2	26.7
8/25/2004	2	2	2	23.1
8/25/2004	3	2	2	27.4
8/25/2004	4	2	2	21.2
8/25/2004	1	2	2	27.6
8/25/2004	5	2	2	28.4
8/25/2004	6	2	2	25.7
9/17/2004	2	1	2	16.9
9/17/2004	3	1	2	11.9
9/17/2004	4	1	2	11.7
9/17/2004	1	1	2	11.2
9/17/2004	5	1	2	17.3
9/17/2004	6	1	2	14.2
9/17/2004	2	2	2	12.4
9/17/2004	3	2	2	11.3
9/17/2004	4	2	2	9.9
9/17/2004	1	2	2	13.5
9/17/2004	5	2	2	16.7
9/17/2004	6	2	2	13
10/20/2004	2	1	2	29.1
10/20/2004	3	1	2	29.3
10/20/2004	4	1	2	26.2
10/20/2004	1	1	2	27.6
10/20/2004	5	1	2	29.7
10/20/2004	6	1	2	28.9
10/20/2004	2	2	2	29.4
10/20/2004	3	2	2	27.3
10/20/2004	4	2	2	26.4
10/20/2004	1	2	2	30.2
10/20/2004	5	2	2	28.2
10/20/2004	6	2	2	25.9
12/3/2004	2	1	2	37.9
12/3/2004	3	1	2	39.5
12/3/2004	4	1	2	35.4
12/3/2004	1	1	2	44.9
12/3/2004	5	1	2	35.8
12/3/2004	6	1	2	36.8
12/3/2004	2	2	2	33.7
12/3/2004	3	2	2	43.4
12/3/2004	4	2	2	30.4
12/3/2004	1	2	2	35.3
12/3/2004	5	2	2	34
12/3/2004	6	2	2	34.7
12/29/2004	2	1	2	33.3
12/29/2004	3	1	2	31
12/29/2004	4	1	2	30.2
12/29/2004	1	1	2	37.2
12/29/2004	5	1	2	32.3
12/29/2004	6	1	2	33.2
12/29/2004	2	2	2	33.8
12/29/2004	3	2	2	32.4
12/29/2004	4	2	2	29.6
12/29/2004	1	2	2	34.7
12/29/2004	5	2	2	29.4
12/29/2004	6	2	2	29.8
1/26/2005	2	1	2	29.7
1/26/2005	3	1	2	30.4
1/26/2005	4	1	2	30.4
1/26/2005	1	1	2	37.7
1/26/2005	5	1	2	31.4
1/26/2005	6	1	2	32.6
1/26/2005	2	2	2	32.5
1/26/2005	3	2	2	31.2
1/26/2005	4	2	2	29.4
1/26/2005	1	2	2	33.4
1/26/2005	5	2	2	30.9
1/26/2005	6	2	2	32.5
2/21/2005	2	1	2	31.3
2/21/2005	3	1	2	33.3
2/21/2005	4	1	2	32.2
2/21/2005	1	1	2	38.1
2/21/2005	5	1	2	31.3
2/21/2005	6	1	2	32.5
2/21/2005	2	2	2	32.9
2/21/2005	3	2	2	33.2
2/21/2005	4	2	2	29.9
2/21/2005	1	2	2	36.5
2/21/2005	5	2	2	32.6
2/21/2005	6	2	2	33.9
4/15/2005	2	1	2	23.1
4/15/2005	3	1	2	22.3
4/15/2005	4	1	2	25
4/15/2005	1	1	2	26.4
4/15/2005	5	1	2	25.1
4/15/2005	6	1	2	21
4/15/2005	2	2	2	20.5
4/15/2005	3	2	2	21.6
4/15/2005	4	2	2	21.3
4/15/2005	1	2	2	29.2
4/15/2005	5	2	2	16.3
4/15/2005	6	2	2	17
4/28/2005	2	1	2	17.8
4/28/2005	3	1	2	14.6
4/28/2005	4	1	2	19.8
4/28/2005	1	1	2	16.1
4/28/2005	5	1	2	16.7
4/28/2005	6	1	2	14.9
4/28/2005	2	2	2	16.1
4/28/2005	3	2	2	16.5
4/28/2005	4	2	2	14.2
4/28/2005	1	2	2	17.1
4/28/2005	5	2	2	15.7
4/28/2005	6	2	2	13.4
5/28/2005	2	1	2	21.5
5/28/2005	3	1	2	16.6
5/28/2005	4	1	2	21.7
5/28/2005	1	1	2	23.3
5/28/2005	5	1	2	22
5/28/2005	6	1	2	18.5
5/28/2005	2	2	2	17.5
5/28/2005	3	2	2	15.1
5/28/2005	4	2	2	13.9
5/28/2005	1	2	2	20.1
5/28/2005	5	2	2	15.9
5/28/2005	6	2	2	17.1
6/21/2005	2	1	2	22.7
6/21/2005	3	1	2	20.9
6/21/2005	4	1	2	21.1
6/21/2005	1	1	2	26.1
6/21/2005	5	1	2	23
6/21/2005	6	1	2	22
6/21/2005	2	2	2	23
6/21/2005	3	2	2	24.9
6/21/2005	4	2	2	14
6/21/2005	1	2	2	25.7
6/21/2005	5	2	2	20.9
6/21/2005	6	2	2	22
7/8/2005	2	1	2	25.4
7/8/2005	3	1	2	25.3
7/8/2005	4	1	2	18.65
7/8/2005	1	1	2	25.8
7/8/2005	5	1	2	25.1
7/8/2005	6	1	2	22
7/8/2005	2	2	2	22.95
7/8/2005	3	2	2	23.4
7/8/2005	4	2	2	17.5
7/8/2005	1	2	2	21.15
7/8/2005	5	2	2	22
7/8/2005	6	2	2	28
8/2/2005	2	1	2	23.1
8/2/2005	3	1	2	23.3
8/2/2005	4	1	2	20.7
8/2/2005	1	1	2	25.4
8/2/2005	5	1	2	20.1
8/2/2005	6	1	2	23.9
8/2/2005	2	2	2	23.6
8/2/2005	3	2	2	24.4
8/2/2005	4	2	2	17.6
8/2/2005	1	2	2	22.6
8/2/2005	5	2	2	19.6
8/2/2005	6	2	2	18.7
8/25/2005	2	1	2	25.7
8/25/2005	3	1	2	26
8/25/2005	4	1	2	24.1
8/25/2005	1	1	2	28.8
8/25/2005	5	1	2	25.4
8/25/2005	6	1	2	25.6
8/25/2005	2	2	2	24.7
8/25/2005	3	2	2	26.7
8/25/2005	4	2	2	17.9
8/25/2005	1	2	2	26.4
8/25/2005	5	2	2	22.6
8/25/2005	6	2	2	21.5
9/24/2005	2	1	2	21.9
9/24/2005	3	1	2	23.8
9/24/2005	4	1	2	21.8
9/24/2005	1	1	2	24.7
9/24/2005	5	1	2	20.1
9/24/2005	6	1	2	21.1
9/24/2005	2	2	2	23.6
9/24/2005	3	2	2	21.9
9/24/2005	4	2	2	18.1
9/24/2005	1	2	2	22.1
9/24/2005	5	2	2	20.1
9/24/2005	6	2	2	21
10//26/05	2	1	2	20.2
10//26/05	3	1	2	22.3
10//26/05	4	1	2	17.7
10//26/05	1	1	2	24
10//26/05	5	1	2	16.4
10//26/05	6	1	2	14
10//26/05	2	2	2	21.1
10//26/05	3	2	2	21.8
10//26/05	4	2	2	15.4
10//26/05	1	2	2	17
10//26/05	5	2	2	16.3
10//26/05	6	2	2	13.4
11/21/2005	2	1	2	14.4
11/21/2005	3	1	2	15.5
11/21/2005	4	1	2	14.6
11/21/2005	1	1	2	14.8
11/21/2005	5	1	2	13
11/21/2005	6	1	2	10.5
11/21/2005	2	2	2	15.6
11/21/2005	3	2	2	15.4
11/21/2005	4	2	2	10.7
11/21/2005	1	2	2	14.3
11/21/2005	5	2	2	10.4
11/21/2005	6	2	2	11
12/30/2005	2	1	2	18.6
12/30/2005	3	1	2	19.2
12/30/2005	4	1	2	15.3
12/30/2005	1	1	2	21.3
12/30/2005	5	1	2	10.2
12/30/2005	6	1	2	11.4
12/30/2005	2	2	2	14.7
12/30/2005	3	2	2	18.7
12/30/2005	4	2	2	10
12/30/2005	1	2	2	15.9
12/30/2005	5	2	2	12.1
12/30/2005	6	2	2	11
1/30/2006	2	1	2	19.3
1/30/2006	3	1	2	20.4
1/30/2006	4	1	2	16.7
1/30/2006	1	1	2	19.2
1/30/2006	5	1	2	17.1
1/30/2006	6	1	2	17.3
1/30/2006	2	2	2	20.4
1/30/2006	3	2	2	18.6
1/30/2006	4	2	2	14.8
1/30/2006	1	2	2	17.6
1/30/2006	5	2	2	17.7
1/30/2006	6	2	2	19
2/24/2006	2	1	2	19.2
2/24/2006	3	1	2	20.8
2/24/2006	4	1	2	NA
2/24/2006	1	1	2	21.1
2/24/2006	5	1	2	19.5
2/24/2006	6	1	2	13.9
2/24/2006	2	2	2	20.1
2/24/2006	3	2	2	18.4
2/24/2006	4	2	2	NA
2/24/2006	1	2	2	18.3
2/24/2006	5	2	2	14.5
2/24/2006	6	2	2	NA
3/28/2006	2	1	2	27.5
3/28/2006	3	1	2	30.3
3/28/2006	4	1	2	27.5
3/28/2006	1	1	2	30.6
3/28/2006	5	1	2	28.3
3/28/2006	6	1	2	26.7
3/28/2006	2	2	2	27.2
3/28/2006	3	2	2	29.7
3/28/2006	4	2	2	21.5
3/28/2006	1	2	2	30.2
3/28/2006	5	2	2	29.2
3/28/2006	6	2	2	28
4/27/2006	2	1	2	17.9
4/27/2006	3	1	2	19.1
4/27/2006	4	1	2	NA
4/27/2006	1	1	2	NA
4/27/2006	5	1	2	NA
4/27/2006	6	1	2	NA
4/27/2006	2	2	2	16.4
4/27/2006	3	2	2	13.9
4/27/2006	4	2	2	NA
4/27/2006	1	2	2	NA
4/27/2006	5	2	2	NA
4/27/2006	6	2	2	NA
5/16/2006	2	1	2	27
5/16/2006	3	1	2	28.3
5/16/2006	4	1	2	23.2
5/16/2006	1	1	2	26.2
5/16/2006	5	1	2	24.9
5/16/2006	6	1	2	25.5
5/16/2006	2	2	2	26.9
5/16/2006	3	2	2	27.2
5/16/2006	4	2	2	23.3
5/16/2006	1	2	2	24.6
5/16/2006	5	2	2	21.6
5/16/2006	6	2	2	21.6
5/30/2006	2	1	2	16.3
5/30/2006	3	1	2	NA
5/30/2006	4	1	2	NA
5/30/2006	1	1	2	NA
5/30/2006	5	1	2	NA
5/30/2006	6	1	2	NA
5/30/2006	2	2	2	14.1
5/30/2006	3	2	2	NA
5/30/2006	4	2	2	NA
5/30/2006	1	2	2	NA
5/30/2006	5	2	2	NA
5/30/2006	6	2	2	NA
6/26/2006	2	1	2	21.9
6/26/2006	3	1	2	17.5
6/26/2006	4	1	2	18.3
6/26/2006	1	1	2	25
6/26/2006	5	1	2	21.8
6/26/2006	6	1	2	25.9
6/26/2006	2	2	2	25.1
6/26/2006	3	2	2	18.8
6/26/2006	4	2	2	14.9
6/26/2006	1	2	2	23.2
6/26/2006	5	2	2	20.7
6/26/2006	6	2	2	22.7
7/17/2006	2	1	2	12.9
7/17/2006	3	1	2	12.5
7/17/2006	4	1	2	7.7
7/17/2006	1	1	2	14.9
7/17/2006	5	1	2	9.7
7/17/2006	6	1	2	8.8
7/17/2006	2	2	2	10.4
7/17/2006	3	2	2	10.3
7/17/2006	4	2	2	7.8
7/17/2006	1	2	2	13
7/17/2006	5	2	2	10.3
7/17/2006	6	2	2	10.3
8/1/2006	2	1	2	23.6
8/1/2006	3	1	2	22.9
8/1/2006	4	1	2	19.3
8/1/2006	1	1	2	26.1
8/1/2006	5	1	2	22
8/1/2006	6	1	2	21.1
8/1/2006	2	2	2	24.5
8/1/2006	3	2	2	25.6
8/1/2006	4	2	2	13.1
8/1/2006	1	2	2	24.4
8/1/2006	5	2	2	22.8
8/1/2006	6	2	2	20.3
9/8/2006	2	1	2	26.4
9/8/2006	3	1	2	28.1
9/8/2006	4	1	2	27
9/8/2006	1	1	2	30.4
9/8/2006	5	1	2	29.2
9/8/2006	6	1	2	27.1
9/8/2006	2	2	2	26.1
9/8/2006	3	2	2	28.5
9/8/2006	4	2	2	25.8
9/8/2006	1	2	2	28.2
9/8/2006	5	2	2	26.8
9/8/2006	6	2	2	27.2
10/8/2006	2	1	2	20.2
10/8/2006	3	1	2	18.5
10/8/2006	4	1	2	16.4
10/8/2006	1	1	2	17.9
10/8/2006	5	1	2	19.7
10/8/2006	6	1	2	14.5
10/8/2006	2	2	2	16.8
10/8/2006	3	2	2	21
10/8/2006	4	2	2	13.6
10/8/2006	1	2	2	17.6
10/8/2006	5	2	2	15.2
10/8/2006	6	2	2	14.5
11/11/2006	2	1	2	30.1
11/11/2006	3	1	2	29
11/11/2006	4	1	2	30.3
11/11/2006	1	1	2	34.1
11/11/2006	5	1	2	31.5
11/11/2006	6	1	2	31.3
11/11/2006	2	2	2	29.3
11/11/2006	3	2	2	31.3
11/11/2006	4	2	2	31.3
11/11/2006	1	2	2	28.2
11/11/2006	5	2	2	29.3
11/11/2006	6	2	2	29
12/23/2006	2	1	2	NA
12/23/2006	3	1	2	37.4
12/23/2006	4	1	2	34.2
12/23/2006	1	1	2	37.7
12/23/2006	5	1	2	34
12/23/2006	6	1	2	28.8
12/23/2006	2	2	2	34.6
12/23/2006	3	2	2	38
12/23/2006	4	2	2	37.2
12/23/2006	1	2	2	35.3
12/23/2006	5	2	2	30.8
12/23/2006	6	2	2	31.2
